"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.03.2022","4.894,98","4.914,73","4.925,45","4.871,07","","-0,40%"
"29.03.2022","4.914,73","4.938,80","4.938,80","4.889,03","","-0,49%"
"28.03.2022","4.938,80","4.965,11","5.009,37","4.917,77","","-0,53%"
"25.03.2022","4.965,11","4.954,51","4.979,07","4.927,48","","0,21%"
"24.03.2022","4.954,51","4.841,46","4.954,51","4.840,36","","2,34%"
"23.03.2022","4.841,46","4.888,18","4.899,24","4.819,04","","-0,96%"
"22.03.2022","4.888,18","4.994,67","4.995,63","4.883,79","","-2,13%"
"21.03.2022","4.994,67","4.854,44","4.996,46","4.775,40","","2,89%"
"18.03.2022","4.854,44","4.789,88","4.860,13","4.789,88","","1,35%"
"17.03.2022","4.789,88","4.695,41","4.841,54","4.695,41","","2,01%"
"16.03.2022","4.695,41","4.623,04","4.715,68","4.623,04","","1,57%"
"15.03.2022","4.623,04","4.588,49","4.637,74","4.581,59","","0,75%"
"14.03.2022","4.588,49","4.633,35","4.645,68","4.587,52","","-0,97%"
"11.03.2022","4.633,35","4.608,97","4.677,68","4.608,97","","0,53%"
"10.03.2022","4.608,97","4.656,03","4.687,71","4.564,15","","-1,01%"
"09.03.2022","4.656,03","4.578,68","4.661,75","4.578,68","","1,69%"
"08.03.2022","4.578,68","4.618,07","4.624,04","4.549,33","","-0,85%"
"07.03.2022","4.618,07","4.641,45","4.692,99","4.559,95","","-0,50%"
"04.03.2022","4.641,45","4.571,80","4.641,75","4.566,32","","1,52%"
"03.03.2022","4.571,80","4.487,37","4.581,30","4.487,37","","1,88%"
"02.03.2022","4.487,37","4.435,17","4.509,91","4.435,17","","1,18%"
"01.03.2022","4.435,17","4.534,47","4.537,37","4.434,31","","-2,19%"
"28.02.2022","4.534,47","4.465,51","4.534,47","4.453,46","","1,54%"
"25.02.2022","4.465,51","4.399,60","4.483,85","4.399,60","","1,50%"
"24.02.2022","4.399,60","4.375,69","4.399,60","4.223,36","","0,55%"
"23.02.2022","4.375,69","4.472,86","4.503,93","4.374,59","","-2,17%"
"22.02.2022","4.472,86","4.525,80","4.525,99","4.432,48","","-1,17%"
"21.02.2022","4.525,80","4.549,07","4.559,23","4.479,91","","-0,51%"
"18.02.2022","4.549,07","4.549,08","4.571,22","4.534,35","","0,00%"
"17.02.2022","4.549,08","4.653,04","4.653,04","4.542,87","","-2,23%"
"16.02.2022","4.653,04","4.643,69","4.667,95","4.614,73","","0,20%"
"15.02.2022","4.643,69","4.604,62","4.664,59","4.604,62","","0,85%"
"14.02.2022","4.604,62","4.652,21","4.652,21","4.589,16","","-1,02%"
"11.02.2022","4.652,21","4.641,53","4.686,62","4.615,99","","0,23%"
"10.02.2022","4.641,53","4.605,08","4.642,57","4.592,28","","0,79%"
"09.02.2022","4.605,08","4.582,62","4.618,78","4.582,35","","0,49%"
"08.02.2022","4.582,62","4.474,10","4.592,57","4.468,91","","2,43%"
"07.02.2022","4.474,10","4.425,52","4.481,10","4.425,52","","1,10%"
"04.02.2022","4.425,52","4.454,97","4.513,76","4.422,41","","-0,66%"
"03.02.2022","4.454,97","4.555,38","4.555,38","4.454,97","","-2,20%"
"02.02.2022","4.555,38","4.598,72","4.620,05","4.555,38","","-0,94%"
"01.02.2022","4.598,72","4.548,45","4.617,29","4.547,33","","1,11%"
"31.01.2022","4.548,45","4.542,86","4.597,58","4.542,86","","0,12%"
"28.01.2022","4.542,86","4.562,74","4.595,92","4.542,86","","-0,44%"
"27.01.2022","4.562,74","4.552,33","4.574,85","4.530,88","","0,23%"
"26.01.2022","4.552,33","4.529,30","4.594,83","4.527,18","","0,51%"
"25.01.2022","4.529,30","4.503,17","4.546,74","4.487,03","","0,58%"
"24.01.2022","4.503,17","4.644,86","4.649,04","4.462,07","","-3,05%"
"21.01.2022","4.644,86","4.486,72","4.671,55","4.486,72","","3,52%"
"20.01.2022","4.486,72","4.470,71","4.505,07","4.465,71","","0,36%"
"19.01.2022","4.470,71","4.500,80","4.538,39","4.469,40","","-0,67%"
"18.01.2022","4.500,80","4.473,27","4.505,89","4.451,48","","0,62%"
"17.01.2022","4.473,27","4.486,57","4.490,88","4.458,47","","-0,30%"
"14.01.2022","4.486,57","4.512,43","4.517,80","4.459,25","","-0,57%"
"13.01.2022","4.512,43","4.507,82","4.554,31","4.484,80","","0,10%"
"12.01.2022","4.507,82","4.394,91","4.507,82","4.394,91","","2,57%"
"11.01.2022","4.394,91","4.298,24","4.394,91","4.298,24","","2,25%"
"10.01.2022","4.298,24","4.296,35","4.301,99","4.272,15","","0,04%"
"07.01.2022","4.296,35","4.348,44","4.361,16","4.275,59","","-1,20%"
"06.01.2022","4.348,44","4.317,60","4.351,94","4.287,88","","0,71%"
"05.01.2022","4.317,60","4.294,64","4.318,75","4.282,62","","0,53%"
"04.01.2022","4.294,64","4.301,32","4.332,71","4.247,58","","-0,16%"
"03.01.2022","4.301,32","4.308,38","4.353,46","4.294,89","","0,03%"
